"full_name","company_name","job_title"
"Stewart Butterfield","Slack","Co-Founder & CEO"
"Jim Breyer","Breyer Capital","Founder & CEO"
"Tim Draper","DFJ","Founder & Managing Director"
"John Collison","Stripe","Founder"
"Rory O'Driscoll","Scale Venture Partners","Partner"
"John Sculley","Zeta Interactive","CEO"
"Max Levchin","PayPal","Founder"
"Molly Wood","New York Times","Technology Correspondent"
"Gary Briggs","Facebook","CMO"
"John Zimmer","Lyft","Co-Founder"
"Mark Pincus","Zynga","Founder & Chairman"
"Chris Wanstrath","Github","CEO"
"Oisin Hanrahan","Handybook","Founder"
"Jonathan Krim","Wall Street Journal","Technology Editor"
"Robert Scoble","Rackspace ","Futurist"
"Stan Chudnovsky","Facebook","VP, Growth & Special Ops"
"Mikkel Svane","Zendesk","Founder & CEO"
"Mikal E. Belicove","Entrepreneur Magazine","Columnist"
"Jens Christensen","Jaunt","CEO"
"David Linthicum","Cloud Technology Partners","SVP"
"Des Traynor","Intercom","Co-Founder & Chief Strategy Officer"
"Lars Silberbauer","Lego","Head of Social Media"
"Micha Kaufman","Fiverr","Founder & CEO"
"Darian Shirazi","Radius","CEO & Founder"
"Matias Van Thienen","Insight Venture Partners"," ‎Investment Analyst"
"Alfonso Castillo","U.S. Venture Partners","Associate"
"Trip Wolfe","Citi","MD, Global TMT Banking"
"Renata Quintini","Felicis Ventures","Partner"
"Bastian Lehmann","Postmates","CEO / Co-Founder"
"Carson Sweet","CloudPassage","CEO"
"Michael Crandell","RightScale","CEO"
"David Blumberg","Blumberg Capital","Managing Partner"
"Todd McKinnon","Okta","Founder and CEO"
"Ben Werther","Platfora","CEO"
"Jon Soberg","Expansive Ventures","Partner"
"Scott Harrison","charity: water","Founder"
"Bryan Johnson","OS Fund","Founder & Chairman"
"Daniel Saks","AppDirect","Founder"
"Scott Cook","Intuit","Founder & Chairman of the Executive Committee"
"Patrick Grady","Deem","CEO"
"Stuart Frankel","Narrative Science","CEO"
"Ben Boyer","Tenaya Capital","Managing Director"
"Jeff Richards","GGV Capital","Partner"
"Ron Gutman","HealthTap","Founder and CEO"
"Peter Arvai","Prezi","CEO/Co-founder"
"Urs Holzle","Google","SVP Tech Infrastructure"
"Jimmy Chamberlin","LiveOneGroup","CEO"
"Adrian Cockcroft","Battery Ventures","Technology Fellow"
"Bing Gordon","KPCB","Partner"
"Jeffrey Goldfarb","Reuters","US Editor"
"Martin Giles"," Wing Venture Capital","Partner"
"Bruce Upbin","Forbes","Managing Editor"
"Benny Luo","Blogger","Blogger"
"Adriana Gascoine","Girls in Tech","Founder"
"Jon Phillips","PC World","Editor-in-chief"
"Jon Swartz","USA Today","San Francisco bureau chief for USA Today, S.F"
"Ben Gilbert","Engadget","Senior Editor"
"John Rampton","Columnist","Forbes"
"Carla Marinucci","San Francisco Chronicle","Senior Writer"
"Chris Voss","The Chris Voss Show","CEO"
"Renee Blodgett","Kolibree","VP, Marketing, Strategy & Social Media"
"Joey Wolfe","Silicon Prairie News","Journalist"
"Edward Zitron","Inc Magazine","Columnist"
"Gina Smith","Anewdomain","Author"
"Leander Kahney","Cult of Mac Blog","Editor"
"Ronald Barba","Tech.co","Journalist"
"Colin Sebastian","Robert W. Baird & Co.","Analyst"
"Matt McGee","Search Engine Land","Editor-In-Chief"
"Benedict Evans","Andreessen Horowitz","Partner"
"Beth Blecherman","Tech Mamas","Founder & Editor"
"John Battelle","Battelle Media","Author/Journalist"
"Phil Jeudy","huffingtonpost","Writer"
"Wagner James","theMIX agency","Vice President"
"Aaron Boulding","Egotastic.com","Senior Editor"
"Robley Curtice","Inside Report on New Media","Senior Editor"
"Tracy-Mark Gorgas","NWCN/NorthWest Cable News","Video Editor/Video Game and Tech Reporter"
"Ryan O'Connell","Influence & Co.","Vice President"
"Dean Meyers","VizWorld","Journalist"
"Jim Marous","The Financial Brand","Journalist"
"Apek Mulay","EBN","Journalist"
"Marco della","USA Today","Journalist"
"J Jennings","Upstart","Journalist"
"Bill Robinson","Huffington Post","Columnist"
"Robin Raskin","Living in Digital Times","Founder"
"Danny Sullivan","Search Engine Land Blog","Founding Editor"
"Aaron Pressman","Yahoo!","Senior Reporter"
"Neal Ungerleider","Fast Company Magazine","Reporter"
"Susan Etlinger","Altimeter Group","Industry Analyst"
"Debra Aho","eMarketer","Lead Analyst"
