"full_name","company_name","job_title"
"Elon Musk","Tesla & Space X","Founder"
"Eva Longoria","Eva Longoria Foundation","Actress & Founder"
"Drew Houston","Dropbox","Founder"
"Padmasree Warrior","Cisco","CTSO"
"Tony Hawk","The Tony Hawk Foundation","Founder"
"Bono ","Elevation Partners","Musician"
"Arianna Huffington","Huffington Post","President, Editor-in-Chief"
"Peter Thiel","Founders Fund","Founder"
"Tony Hsieh","Zappos","CEO"
"Brendan Iribe","Oculus VR","CEO"
"Tony Fadell","Nest","Founder"
"Clara Shih","Hearsay Social","Founder "
"Sean Rad","Tinder","Founder & President"
"Maelle Gavet","OZON","CEO"
"Danae Ringelmann","Indiegogo","Founder "
"Julia Hartz","Eventbrite","President"
"Shane Smith","Vice","Founder & CEO"
"Aaron Levie","Box","Founder"
"Lily Cole","Impossible","Founder"
"Dana Brunetti","House Of Cards","Producer"
"JP Rangaswami","Salesforce","Chief Scientist"
"Adi Tatarko","Houzz","Co-Founder & CEO"
"Anna Patterson","Google","VP of Engineering"
"Jimmy Wales","Wikipedia","Co-Founder"
"Reed Hastings","Netflix","Founder"
"Ayah Bdeir","littleBits","Founder & CEO"
"Jack Dorsey","Twitter","Co-Founder"
"Niklas ZennstrÃ¶m","Skype","Founder"
"Chad Hurley","YouTube","Co-Founder"
"Michelle Zatlyn","CloudFlare, Inc.","Co-founder"
"Scott Harrison","charity: water ","CEO "
"Enda Kenny","DÃ¡il Ã‰ireann","An Taoiseach"
"Kevin Rose","Google Ventures","Partner"
"Phil Libin","Evernote","CEO"
"Eugene Kaspersky","Kaspersky Lab","CEO & Co-Founder"
"Jeremy Darroch","BSkyB","CEO"
"Urs HÃ¶lzle","Google","SVP Tech Infrastructure"
"Jemima Kiss","The Guardian","Head of Technology"
"Mark Pincus","Zynga","Founder"
"Joe Lonsdale","Formation 8","Founder and GP"
"Adam Bain","Twitter","President"
"Dave Goldberg","Survey Monkey","CEO"
"Rio Ferdinand","BT Sport","Ambassador"
"Lauren Wirtzer","Parkwood Entertainment","Head of Digital"
"Alfred Lin","Sequoia Capital","Partner"
"John Sculley","Apple","Former CEO"
"Henry Blodget","Business Insider","Co-Founder & CEO "
"Robert Scoble","Rackspace","Startup Liason Officer"
"Paul McGinley","Team Europe","Ryder Cup Captain"
"Rachel Schutt","Newscorp","Chief Data Scientist"
"Shervin Pishevar","Sherpa Ventures","Co-Founder & Co-CEO"
"Justin Rosenstein","Asana","Co-founder"
"Adrian Grenier","SHFT.com","Founder"
"Bill James","Boston Red Sox","Senior Advisor"
"Chris Satchell","Nike","CTO"
"Michael Acton Smith","Mind Candy","Founder"
"Gabriella Coleman","McGill University","Professor"
"Jay Bregman","Hailo","Founder"
"Scott Sandell","NEA","General Partner"
"Adam Richman","Man v Food","Presenter"
"Jules Coleman","Hassle","CEO"
"Jeff Jampol","Jam Inc","Founder"
"Tim Webber","Framestore","VFX Supervisor Gravity"
"Jeremy Schaap ","ESPN","Broadcaster"
"Dick Glover","Funny Or Die","President & CEO"
"Richard Arnold","Manchester United","Group Managing Director"
"Leland Melvin","Leland Melvin","Astronaut / Engineer"
"Dave McClure","500 Startups","Founding Partner"
"Liam Casey","PCH","Founder"
"Caroline Hyde","Bloomberg","Business Correspondent"
"Eric Wahlforss","Soundcloud","Founder & CTO"
"John Engates","Rackspace","CTO"
"Mark Little","Storyful","Founder & CEO"
"Jemima Khan","Vanity Fair","European editor-at-large"
"John O'Farrell","Andreessen Horowitz","Partner"
"Zach Sims","Codecademy","Founder"
"Alex Klein","Kano","Co-founder"
"Zachary Bogue","Data Collective","Co-Founder"
"Sonny Vu","Misfit Wearables","Co-founder & CEO"
"Katherine Hague","ShopLocket","Co-Founder"
"Jim Bankoff","Vox Media","CEO & Chairman"
"Jonathan  Klein","Getty Images","CEO and Co-Founder "
"Ryan Smith","Qualtrics","Founder & CEO"
"Cathryn Posey","Tech by Superwomen","Founder"
"Jimmy Maymann","The Huffington Post","CEO"
"Melody Hildebrandt","Palantir","Head of Cyber Security"
"Wayne Chang","Twitter","Head of Product Marketing, Fabric"
"John Hayes","American Express","CMO"
"Jimmy Chamberlin","LiveOne Inc","CEO & Co-Founder"
"Steven Bertoni","Forbes","Associate Editor"
"Michelle Lam","True&Co","CEO, Co-Founder"
"Henk Ten Cate","Chelsea, Barcelona, Ajax","Former Assistant Manager"
"Amanda Kahlow","6Sense","CEO"
"Jonathan Downey","Airware","Founder & CEO"
"Lynette Kucsma","Natural Machines","Co-Founder & CMO"
"Katherine Barna","Tumblr","Head of Communications"
